ro_id,ro_name,aspect_id,aspect_name,keywords,exclusions,num_keywords
RO1,Subjective Well-Being,RO1.1,Cognitive Function,brain fog; brainfog; mental clarity; clarity; focus; focused; concentration; memory; cognitive; sharp; alert; clear headed; clearheaded; mental focus; brain function; foggy; my brain; mental performance; thinking clearly,alzheimer; dementia; neurodegenerat,19
RO1,Subjective Well-Being,RO1.2,Energy & Vitality,energy; energetic; energized; tired; fatigue; fatigued; exhausted; exhaustion; lethargy; lethargic; vitality; vigor; stamina; endurance; more energy; no energy; energy level; full of energy; chronic fatigue,,19
RO1,Subjective Well-Being,RO1.3,Psychological Well-Being,anxiety; anxious; depression; depressed; mood; moods; stress; stressed; mental health; happier; happy; calm; peaceful; relaxed; irritable; irritability; emotional; well-being; wellbeing; positive; outlook; hopeful,adhd; add; attention deficit,22
RO1,Subjective Well-Being,RO1.4,Sleep Quality,sleep; sleeping; slept; insomnia; restful; sleep better; better sleep; sleep quality; waking up; wake up; deep sleep; sleep apnea; apnea; cpap; snoring; snore; refreshed; sleep through,,18
RO1,Subjective Well-Being,RO1.5,Appetite & Satiety,appetite; hungry; hunger; craving; cravings; satiety; satiated; not hungry; never hungry; sugar craving; carb craving; food craving; binge; binging; overeating; snacking; satisfied; feel full; feeling full,,19
RO1,Subjective Well-Being,RO1.6,Pain & Inflammation,pain; ache; aches; aching; inflammation; inflammatory; joint pain; back pain; knee pain; chronic pain; body aches; stiff; stiffness; swelling; swollen; headache; headaches; migraine; migraines; soreness; sore; no more pain; pain free; pain-free,arthritis; fibromyalgia; gout; rheumatoid,24
RO1,Subjective Well-Being,RO1.7,Digestive Health,digest; digestion; digestive; gut; gut health; bloat; bloating; bloated; gas; stomach; bowel; constipation; constipated; diarrhea; reflux; acid reflux; heartburn; gerd; leaky gut; gut issues; indigestion; nausea; bowel movement,ibs; irritable bowel; crohn; colitis; ibd,23
RO1,Subjective Well-Being,RO1.8,Skin Health,skin; skin tag; skin tags; acne; eczema; psoriasis; rash; rashes; complexion; clear skin; skin cleared; glowing; rosacea; hives; itchy; dry skin; oily skin; skin issue; skin problem; dermatitis; skin health,lupus rash,21
RO1,Subjective Well-Being,RO1.9,Hormonal & Menstrual Health,hormone; hormones; hormonal; period; periods; menstrual; menstruation; hot flash; hot flashes; menopause; menopausal; perimenopause; pms; cycle; monthly cycle; night sweats; regular period; irregular period,pcos; polycystic,18
RO2,Tool-Mediated Validation,RO2.1,Anthropometric Changes,weight; lost weight; lose weight; weight loss; losing weight; pounds; lbs; kg; kilos; waist; inches; bmi; body fat; fat loss; dropped; scale; dress size; pant size; belt; clothing size; visceral fat; lean mass; body composition; lost 10; lost 20; lost 30; lost 50; lost 100,,28
RO2,Tool-Mediated Validation,RO2.2,Glycemic Control,glucose; blood sugar; blood glucose; a1c; hba1c; my a1c; fasting glucose; fasting insulin; insulin; insulin level; insulin resistance; insulin resistant; cgm; glucometer; blood test; sugar level; glucose level; sugar spike; stable blood sugar; normal blood sugar; blood sugar down,diabetes; diabetic; type 2; t2d; prediabetes,21
RO2,Tool-Mediated Validation,RO2.3,Blood Pressure,blood pressure; bp; high blood pressure; systolic; diastolic; pressure reading; pressure meds; pressure medication; my blood pressure; pressure down; normalized bp; off bp meds; blood pressure is; blood pressure was,hypertension,14
RO2,Tool-Mediated Validation,RO2.4,Lipid Profile,cholesterol; triglycerides; triglyceride; trigs; hdl; ldl; my ldl; my hdl; lipid; lipids; lipid panel; total cholesterol; vldl; statin; statins; off statins; cholesterol level; high cholesterol; lowered cholesterol; apob; apo b,heart disease; heart attack; cardiovascular,21
RO2,Tool-Mediated Validation,RO2.5,Inflammatory Markers,crp; c-reactive; c reactive; homocysteine; hs-crp; hscrp; sed rate; esr; inflammation marker; inflammatory marker; systemic inflammation,,11
RO2,Tool-Mediated Validation,RO2.6,Liver Function,liver enzyme; ast; alt; ggt; bilirubin; liver function; liver test; lft; liver number; liver panel; my liver; liver health; liver enzymes; elevated liver; liver marker,fatty liver; nafld; nash; cirrhosis; liver disease,15
RO2,Tool-Mediated Validation,RO2.7,Kidney Function,gfr; egfr; creatinine; kidney function; renal function; bun; blood urea; kidney number; kidney test; my kidneys; kidney health,kidney disease; ckd; renal failure; dialysis; kidney stone,11
RO2,Tool-Mediated Validation,RO2.8,Hormonal Markers,tsh; t3; t4; free t3; free t4; testosterone; estrogen; progesterone; dhea; cortisol; hormone level; hormone panel; thyroid panel; hormones balanced; hormone test,hashimoto; hypothyroid; hyperthyroid; graves; thyroid disease,15
RO3,Disease Specificity,RO3.1,Type 2 Diabetes,diabetes; diabetic; type 2 diabetes; t2d; t2dm; prediabetes; prediabetic; pre-diabetic; pre diabetic; reversed diabetes; metformin; my diabetes; am diabetic; type two diabetes; diabetics,,15
RO3,Disease Specificity,RO3.2,Fatty Liver Disease,fatty liver; nafld; nash; non-alcoholic fatty liver; hepatic steatosis; liver fibrosis; cirrhosis; my fatty liver; liver disease; fatty liver disease,,10
RO3,Disease Specificity,RO3.3,Cardiovascular Disease,heart disease; heart attack; cardiovascular; cvd; coronary artery; coronary heart; cad; heart failure; congestive heart; chf; stent; bypass surgery; myocardial; atherosclerosis; plaque buildup; angina; cardiac; heart condition; heart problem,,19
RO3,Disease Specificity,RO3.4,Hypertension,hypertension; hypertensive; diagnosed with high blood pressure; have high blood pressure,,4
RO3,Disease Specificity,RO3.5,PCOS,pcos; polycystic ovary; polycystic ovarian; polycystic ovary syndrome; ovarian cyst; cysts on ovaries; polycystic syndrome,,7
RO3,Disease Specificity,RO3.6,Neurodegenerative Disease,alzheimer; alzheimer's; alzheimers; dementia; cognitive decline; parkinson; parkinson's; parkinsons; neurodegenerat; parkinson's disease; alzheimer disease,,11
RO3,Disease Specificity,RO3.7,Chronic Kidney Disease,kidney disease; ckd; chronic kidney; renal failure; end stage renal; esrd; dialysis; nephropathy; stage 3 kidney; stage 4 kidney; stage 5 kidney; kidney failure,,12
RO3,Disease Specificity,RO3.8,Gout,gout; gouty; uric acid; gouty arthritis; high uric acid; uric acid level; gout attack; gout flare,,8
RO3,Disease Specificity,RO3.9,Cancer,cancer; tumor; tumour; malignant; carcinoma; sarcoma; lymphoma; leukemia; metastasis; chemo; chemotherapy; oncology; breast cancer; colon cancer; prostate cancer; lung cancer; cancer cells; cancer diagnosis; cancer treatment,,19
RO3,Disease Specificity,RO3.10,Osteoporosis,osteoporosis; osteopenia; bone density; bone mass; dexa scan; bone scan; bone loss; fracture risk; bone health; brittle bones,,10
RO3,Disease Specificity,RO3.11,Stroke,had a stroke; stroke survivor; after stroke; stroke recovery; tia; transient ischemic; cerebrovascular; cva; ischemic stroke; hemorrhagic stroke; mini stroke; stroke risk,,12
